"state,Total population"
"AL,4785298"
"AK,713985"
"AZ,6413737"
"AR,2921606"
"CA,37349363"
"CO,5049071"
"CT,3577073"
"DE,899769"
"DC,604453"
"FL,18843326"
"GA,9712587"
"HI,1363621"
"ID,1571450"
"IL,12843166"
"IN,6490621"
"IA,3049883"
"KS,2859169"
"KY,4346266"
"LA,4544228"
"ME,1327567"
"MD,5785982"
"MA,6557254"
"MI,9877574"
"MN,5310584"
"MS,2970036"
"MO,5996231"
"MT,990898"
"NE,1830429"
"NV,2704642"
"NH,1316759"
"NJ,8801624"
"NM,2065932"
"NY,19392283"
"NC,9561558"
"ND,674499"
"OH,11536182"
"OK,3761702"
"OR,3838957"
"PA,12709630"
"RI,1052886"
"SC,4636312"
"SD,816463"
"TN,6356897"
"TX,25257114"
"UT,2776469"
"VT,625960"
"VA,8024617"
"WA,6744496"
"WV,1853973"
"WI,5691047"
"WY,564460"